negative	don't even bother watching this piece of crap . watch the trailer instead it reveals the entire plot . you'll save a couple hours of your life .
negative	considering great performances by witherspoon and bergan , the film is possibly one of the worst romantic comedies of all time . mcconahay ( i can't spell his name . . lol ) is the perfect contender for the next white trash , smelly role on the big screen . i hated this film , and i hope you will too . ta-ta !
negative	this movie sucked . keanu , stick to the matrix , make a matrix ii please !
negative	i agree 100 % ! ! ! gene hackman couldn't even help this movie .
negative	keanu sucks but so does the movie . you'd think gene hackman would make the movie , but he doesn't . they have cut so many scenes out of the movie that the story doesn't flow naturally . very poor movie .
negative	pitiful .
negative	so stupid and juvenile this film is ! i can't believe that this was based on shakespeare ! this movie was too cheesy for me to withstand ! ( and i usually like bad b-grade movies too ! )
negative	martha , you have to keep old fido in the house . he dragged in another stinky polecat again !
negative	one of the five worst movies ever produced for a large audience . and there is nothing worse than having to watch it with a pack of females who think it is romantic and charming . it isn't . it is contrived to the nth degree and desperately trying to be quirky and loveable . good for people trying to diet because this film will make it difficult for the viewer to keep his food down . on a par with superman iii .
negative	long and boring . i can't even remember the storyline now . it was that boring
negative	it's sad really . . . people watch that ? it had no real amusing points . . . but my sides to hurt from laughing at the crappy acting . . . hue grant needs a better job
negative	it's not the worst movie i've ever seen , cause that was the norwegian film dis , but i'm quite sure it's the worst 1999-film probably the worst comedy in the 90ies ! if there was an oscar for worst actress , julia roberts would certainly get it ! in 1990ies we aren't satisfied with voiceless boring movies with no action ! : - (
negative	what a bore fest this was it was not funny , it wasn't any thing . it just went on and on and was totally pointless . avoid at all costs .
negative	my significant other insisted this was a movie for me -- the reviews he had read were spectacular . he was wrong and so were those reviewers . i cannot recall much about this long drawn out tale other than i should have gotten the largest popcorn they sold -- the meal would have made the experience a bit shy of a big waste of time .
negative	the acting was ok . the accents were very annoying . the swearing was unnecesary . and the woodchipper part was just plain old nasty . save yourself the time and money and don't watch this film
negative	adam sandler sucks !
negative	yet another stupid adam sandler movie with lowbrow humor , profanity and no laughs whatsoever . adam sandler , you are under arrest for making a bad movie . henry winkler , you can go , we understand .
negative	the only funny scenes were in the trailer .
negative	this is the worst movie i've ever seen .
negative	sometimes even the funniest actor can mess up with a movie , and the waterboy proves this . adam sandler plays a waterboy . bored yet ? his mother cuts fish . yet ? his girlfriend dumped him and came back . yet ? his coach is henry winkler . yet ?
negative	one of the worst flicks ever made ! ! i suppose on some low , low , low level this might have been amusing to a few , but to me it blew . hard ! watching a movie where half of the time nothing happens and the other half of the time . . . nothing happens ! ! the plot was nowhere to be found , the acting so poor that you could throw up ( except for steve buscemi and peter stormare ) and an unseemingly desire to believe that all scandinavians start and end their sentences with ja , ja , ja or nej , nej , nej . let me tell you , i live in sweden and watching someone mispronounce our language for over an hour is not my idea of a good time .
negative	adam sandler really goes over the top , sending a message to the audience of careless child care . it runs really slow at times .
negative	this is one of the most embarassingly dumb movies i'd seen in a long time . and i even like adam sandler !
negative	how could a guy who was so funny in happy gilmore be so incredibly lame in waterboy ? i can't believe i spent $ 7 to see this crap . truly awful .
negative	total let down ! it stunk .
negative	dry and boring .
negative	worst movie to be produced in a long , long time . just plain stupid .
negative	dull , predictable , and insufferably stupid .
negative	of all the comments made about violence in the movies today nurse betty has one of the most violent ( and unnessacary ) scenes i have ever witnessed . it was so bad that it totally ruined the rest of the movie . this is no comedy ! ! ! that aside nurse betty quicky put me to sleep for the rest of the movie . to bad , this should have been a great movie . it has a lot of fine actors ( i love morgan freeman ) and what should have been a very good story . however , one scene , one little moment , ruines the experience .
negative	i've walked out of only two movies in my life , and one was nurse betty ( the other was endless love , to give you some perspective ) . i went in expecting a light , entertaining comedy , and what i saw instead was graphic violence and really terrible acting . the movie is about a waitress who witnesses a serious crime , has a break with reality , and then believes she's an actress in her favorite soap opera . with a plot like that , i felt sure i was in for lots of laughs . what a shock it was to see the serious crime depicted in a very realistic , horrifying way and more violence ( including lots of blood and gore ) in subsequent scenes . morgan freeman and chris rock , playing the killers after nurse betty , should be ashamed of themselves . their roles were definitely beneath them , and one of the worst parts was that no one in the theater laughed at any of their jokes . it was pathetic ! i still feel disturbed by the violence i saw in the first hour of the movie . you have been warned !
negative	my friends said this was the funniest movie ever . i watched it and had no clue what they were talking about . it had an extremley dissapointing ending , such bad humor , and some bad acting by good actors .
negative	worst remake ever
negative	yuck ! ! ! ! i hated this movie ! ! it wasn't funny at all . it was horrible . this movie is extremely over-rated . not appealing at all .
negative	although i've never seen the full movie , and some people will criticize me for making a comment , i've seen the previews and heard about it . lets think , they are making the devil look like some sexy woman . that is absolutely disgusting . i wouldn't want to watch a movie like that . for a start , the devil is far from attractive . like charmed , these producers have made the dark side look attractive . you want to know what the real devil is like , well for a start he is the ugliest monster in existance , secondly he hates all of humanity's guts ( and that's biblical fact ) . he was a murderer and lier from the beginning . yeah , it may seem cool having this beautiful woman make the devil look beautiful , but if anyone were to really give their soul to the devil for some sensual pleasures , they will pay for it in a big way , for eternity too . it is not worth risking your whole eternity over , just to get a bit of pleasure on this earth . you want to know why the devil tries to tempt people , because he thinks everyone is stupid enough to fall for it . because in reality , you have two choices . you can keep $ 1 and pay a trillion dollars ( have your earthly pleasures and not be accepted into god's kingdom ) , or you can pay $ 1 now , which will hurt , but get $ 1 trillion dollars back ( give your life over to the lord jesus ) . what one would you choose . judging by that movie , i know what the devil would want you to choose ( keep the dollar , loose the trillion ) . this is not to push my beliefs or to frighten or offend anyone , these are just my thoughts on this movie . plus it seems people arn't judging this movie on it's content or it's morality message ( which is terrible ) , they are judging this movie based on lust ( because they think the woman was attractive ) .
negative	awful ! this movie is lame ! ! !
negative	this movie was horrible ! no purpose whatsoever , gruesome scenes , and just horrible situations . i can't believe people actually think of such things . walked away from the movie with nothing and don't care ever recall it again .
negative	god only knows what harold ramis was thinking . . . . .
negative	it had canadian actors and script , which no one likes . the plot was terrible , yet predictable .
negative	just a really ignornat , mindless romp ! will ferrell running around naked was embarassing .
negative	this movie was about as intelligent as a rock , and almost as boring as one , too ! i was horrified to see vince vaughn lower his standards and star in such filth . pathetic !
negative	wretched , unfunny tripe aimed at career dumbasses .
negative	tediously unfunny scattershot comedy is a gross-out fest wasting all three of it's main actors . a bad rip-off of animal house with no merit .
